postcode,eastings,northings,latitude,longitude
N9,534500,194000,51.62825,-0.05659
NE1,424900,564300,54.97262,-1.61097
NE10,428600,561500,54.94726,-1.55345
NE11,423600,560800,54.94123,-1.63157
NE12,427600,570100,55.0246,-1.56823
NE13,422700,572500,55.04642,-1.64469
NE15,417900,565500,54.9837,-1.72026
NE16,419800,559800,54.9324,-1.69096
NE17,411800,557700,54.91378,-1.81591
NE18,408900,571500,55.03787,-1.86072
NE19,393900,587200,55.17901,-2.0958
NE2,425300,565900,54.98698,-1.60458
NE20,413700,573200,55.05304,-1.78553
NE21,418000,562600,54.95764,-1.71888
NE22,426500,582500,55.1361,-1.58428
NE23,426700,576300,55.08037,-1.58173
NE24,430600,581000,55.12238,-1.52013
NE25,432800,572900,55.04945,-1.48656
NE26,434700,573200,55.05201,-1.45679
NE27,431300,571000,55.03247,-1.51025
NE28,430800,567400,55.00015,-1.51846
NE29,434300,568700,55.0116,-1.46359
NE3,423500,568500,55.01043,-1.6325
NE30,435800,569800,55.02138,-1.44
NE31,431300,564200,54.97136,-1.511
NE32,433100,563800,54.96765,-1.48292
NE33,436600,566400,54.99077,-1.42792
NE34,437100,564300,54.97186,-1.42037
NE35,434600,562100,54.95227,-1.4597
NE36,436000,561300,54.94498,-1.43794
NE37,430400,557700,54.913,-1.52574
NE38,430500,555600,54.89412,-1.52441
NE39,415500,558800,54.92357,-1.75813
NE4,422900,564400,54.97361,-1.64221
NE40,414600,563500,54.96584,-1.77193
NE41,411600,564600,54.9758,-1.81875
NE42,409300,563100,54.96237,-1.85474
NE43,406100,561500,54.94804,-1.90475
NE44,401400,560900,54.94268,-1.97814
NE45,399000,564700,54.97683,-2.01563
NE46,393200,565000,54.97948,-2.10626
NE47,383900,559400,54.92894,-2.25127
NE48,383600,581900,55.13114,-2.25724
NE49,370600,563700,54.96698,-2.45927
NE5,420000,566900,54.99621,-1.68735
NE6,427900,564800,54.97695,-1.56405
NE61,419800,587400,55.18045,-1.68905
NE62,426000,585300,55.16129,-1.59187
NE63,427900,587100,55.17736,-1.56187
NE64,430900,587900,55.18437,-1.51467
NE65,415800,602100,55.3127,-1.75104
NE66,417000,615000,55.42858,-1.73135
NE67,419400,626700,55.53363,-1.6926
NE68,421600,631200,55.57398,-1.65739
NE69,417900,634600,55.60468,-1.71586
NE7,427000,567300,54.99947,-1.57788
NE70,411600,633400,55.59409,-1.81591
NE71,397200,629100,55.55558,-2.04439
NE8,425400,562400,54.95552,-1.60333
NE9,426700,559700,54.93118,-1.58328
NE99,424800,563700,54.96723,-1.61259
NG1,457300,340000,52.954,-1.147
NG10,448300,333900,52.90005,-1.28187
NG11,455600,333900,52.89934,-1.17335
NG12,463600,335300,52.91104,-1.05415
NG13,472500,339500,52.94767,-0.92087
NG14,464600,346900,53.01519,-1.03696
NG15,453400,350100,53.04519,-1.20338
NG16,447400,348000,53.02688,-1.29319
